dEven,candidate_event_count,has_candidate_event
2019-04-14,16,True
2019-04-15,20,True
2019-04-16,21,True
2019-04-17,27,True
2019-04-20,12,True
2019-04-22,19,True
2019-04-23,20,True
2019-04-24,19,True
2019-04-27,17,True
2019-04-28,9,True
2019-04-29,10,True
2019-04-30,6,True
2019-05-01,5,True
2019-05-04,5,True
2019-05-05,4,True
2019-05-06,15,True
2019-05-07,22,True
2019-05-08,16,True
2019-05-11,24,True
2019-05-12,27,True
2019-05-13,20,True
2019-05-14,14,True
2019-05-15,15,True
2019-05-18,14,True
2019-05-19,13,True
2019-05-20,20,True
2019-05-21,13,True
2019-05-22,9,True
2019-05-25,13,True
2019-05-26,9,True
2019-05-28,7,True
2019-05-29,13,True
2019-06-01,14,True
2019-06-02,22,True
2019-06-03,32,True
2019-06-08,34,True
2019-06-09,31,True
2019-06-10,32,True
2019-06-11,30,True
2019-06-12,24,True
2019-06-15,24,True
2019-06-16,21,True
2019-06-17,22,True
2019-06-18,31,True
2019-06-19,38,True
2019-06-22,39,True
2019-06-23,23,True
2019-06-24,20,True
2019-06-25,18,True
2019-06-26,19,True
2019-06-30,15,True
2019-07-01,13,True
2019-07-02,10,True
2019-07-03,14,True
2019-07-06,17,True
2019-07-07,12,True
2019-07-08,10,True
2019-07-09,8,True
2019-07-10,11,True
2019-07-13,16,True
2019-07-14,18,True
2019-07-15,30,True
2019-07-16,56,True
2019-07-17,49,True
2019-07-20,46,True
2019-07-21,40,True
2019-07-22,50,True
2019-07-23,68,True
2019-07-24,63,True
2019-07-27,63,True
2019-07-28,63,True
2019-07-29,69,True
2019-07-30,63,True
2019-07-31,53,True
2019-08-03,52,True
2019-08-04,38,True
2019-08-05,39,True
2019-08-06,43,True
2019-08-07,40,True
2019-08-10,39,True
2019-08-11,36,True
2019-08-13,33,True
2019-08-14,30,True
2019-08-17,27,True
2019-08-18,37,True
2019-08-19,32,True
2019-08-21,19,True
2019-08-24,18,True
2019-08-25,22,True
2019-08-26,17,True
2019-08-27,26,True
2019-08-28,25,True
2019-08-31,20,True
2019-09-01,17,True
2019-09-02,16,True
2019-09-03,21,True
2019-09-04,17,True
2019-09-07,8,True
2019-09-08,6,True
2019-09-11,5,True
2019-09-14,1,True
2019-09-15,1,True
2019-09-16,8,True
2019-09-17,12,True
2019-09-18,16,True
2019-09-21,13,True
2019-09-22,4,True
2019-09-23,7,True
2019-09-24,13,True
2019-09-25,12,True
2019-09-28,11,True
2019-09-29,15,True
2019-09-30,17,True
2019-10-01,15,True
2019-10-02,17,True
2019-10-05,18,True
2019-10-06,24,True
2019-10-07,22,True
2019-10-08,30,True
2019-10-09,27,True
